Trip_ID,Shopper_ID,Date,Store_ID,Mission,SEC_Tier,Age_Group,Basket_Value,Distinct_SKUs
500000,12955,2025-04-22,2082,Impulse,Mid-SEC,25-34,448.36,7
500001,16458,2025-04-24,2087,Top-up,Low-SEC,25-34,82.42,2
500002,17455,2025-04-23,2082,Impulse,High-SEC,25-34,377.04,7
500003,10193,2025-04-20,2077,Health-conscious,Mid-SEC,18-24,99.52,1
500004,10716,2025-04-21,2016,Impulse,Mid-SEC,25-34,472.37,5
500005,10221,2025-04-26,2001,Impulse,High-SEC,35-44,433.72,1
500006,13314,2025-04-23,2017,Health-conscious,Low-SEC,35-44,199.29,2
500007,13994,2025-04-24,2007,Sharing,High-SEC,18-24,59.54,1
500008,11684,2025-04-22,2069,Impulse,High-SEC,45-54,113.83,2
500009,10393,2025-04-23,2029,Health-conscious,Low-SEC,35-44,344.91,2
500010,16303,2025-04-25,2087,Impulse,Mid-SEC,25-34,495.85,2
500011,11666,2025-04-22,2036,Impulse,High-SEC,35-44,103.26,1
500012,10710,2025-04-21,2077,Top-up,Mid-SEC,35-44,319.83,6
500013,16967,2025-04-25,2019,Sharing,High-SEC,35-44,206.77,1
500014,14441,2025-04-25,2063,Sharing,Mid-SEC,18-24,404.99,7
500015,12435,2025-04-21,2083,Sharing,Low-SEC,45-54,251.01,7
500016,17838,2025-04-20,2008,Health-conscious,High-SEC,35-44,115.1,3
500017,12089,2025-04-26,2023,Health-conscious,Mid-SEC,35-44,272.39,4
500018,16782,2025-04-26,2077,Sharing,Low-SEC,25-34,222.43,5
500019,18144,2025-04-24,2068,Health-conscious,High-SEC,25-34,223.08,5
500020,16911,2025-04-24,2067,Top-up,High-SEC,18-24,155.84,1
500021,13330,2025-04-22,2002,Health-conscious,Low-SEC,18-24,76.81,3
500022,15912,2025-04-22,2017,Health-conscious,Low-SEC,45-54,159.12,7
500023,13679,2025-04-25,2007,Top-up,Low-SEC,25-34,219.86,1
500024,16958,2025-04-20,2047,Impulse,High-SEC,18-24,264.57,5
