Store_ID,Date,Compliance_Score,Photos_Audited,Avg_Facings_Variance
2058,2025-04-26,67,5,1.81
2058,2025-04-20,77,10,-1.55
2058,2025-04-23,81,8,0.0
2078,2025-04-26,94,19,0.04
2078,2025-04-23,99,13,1.14
2078,2025-04-22,65,16,-1.29
2043,2025-04-26,72,13,0.9
2043,2025-04-24,65,7,-1.35
2043,2025-04-22,70,11,-0.09
2055,2025-04-26,100,16,-1.88
2055,2025-04-26,84,18,-1.59
2055,2025-04-24,85,11,-1.33
2087,2025-04-24,100,20,1.09
2087,2025-04-25,64,12,1.34
2087,2025-04-26,91,19,-0.45
2074,2025-04-25,83,11,1.6
2074,2025-04-20,88,11,-1.99
2074,2025-04-22,61,16,0.59
2060,2025-04-23,60,15,1.45
2060,2025-04-20,68,8,0.38
2060,2025-04-24,67,9,-0.11
2052,2025-04-24,95,15,-1.52
2052,2025-04-26,62,15,-1.02
2052,2025-04-24,87,14,-1.84
2046,2025-04-20,63,14,0.66
2046,2025-04-21,76,17,2.0
2046,2025-04-22,81,18,1.93
2039,2025-04-24,83,7,-0.01
2039,2025-04-25,79,18,-1.91
2039,2025-04-22,80,10,0.85
2040,2025-04-26,68,8,-0.55
2040,2025-04-20,76,15,-0.73
2040,2025-04-20,71,11,0.33
2031,2025-04-20,74,6,-0.89
2031,2025-04-26,95,7,1.25
2031,2025-04-24,96,14,1.63
2069,2025-04-25,79,8,1.58
2069,2025-04-26,62,14,1.68
2069,2025-04-23,65,15,-0.92
2027,2025-04-20,68,7,-1.62
2027,2025-04-24,60,8,1.57
2027,2025-04-20,90,16,-0.38
2038,2025-04-20,76,10,0.36
2038,2025-04-24,75,7,-0.66
2038,2025-04-21,96,8,0.52
2068,2025-04-20,90,11,0.91
2068,2025-04-21,70,12,1.96
2068,2025-04-20,93,13,0.31
2010,2025-04-25,72,20,0.19
2010,2025-04-20,87,11,0.45
2010,2025-04-23,72,14,-0.62
2002,2025-04-23,97,18,1.64
2002,2025-04-22,77,12,0.47
2002,2025-04-20,86,13,0.59
2089,2025-04-23,60,8,-0.38
2089,2025-04-21,76,9,0.31
2089,2025-04-26,97,8,1.87
2070,2025-04-21,68,6,-1.08
2070,2025-04-21,62,7,0.74
2070,2025-04-21,73,13,1.84
2053,2025-04-24,60,11,0.87
