Promo_ID,SKU_ID,Market,Promo_Type,Promo_Start,Promo_End,Discount_%
6000,1000,Thailand,Stamp,2025-04-20,2025-04-27,10
6001,1001,Japan,Price-off,2025-04-21,2025-04-27,25
6002,1002,India,Stamp,2025-04-20,2025-04-25,25
6003,1003,Japan,BOGO,2025-04-21,2025-04-27,20
6004,1004,India,Price-off,2025-04-21,2025-04-24,5
6005,1005,Japan,BOGO,2025-04-20,2025-04-25,10
6006,1006,Thailand,Bundle,2025-04-22,2025-04-27,5
6007,1007,Thailand,Bundle,2025-04-22,2025-04-26,20
6008,1008,Thailand,BOGO,2025-04-20,2025-04-26,10
6009,1009,Thailand,Stamp,2025-04-21,2025-04-26,5
6010,1010,Thailand,Bundle,2025-04-20,2025-04-27,20
6011,1011,Japan,BOGO,2025-04-22,2025-04-25,20
6012,1012,India,Price-off,2025-04-20,2025-04-24,20
6013,1013,Japan,Price-off,2025-04-22,2025-04-27,5
6014,1014,Japan,Stamp,2025-04-20,2025-04-23,5
6015,1015,Thailand,BOGO,2025-04-20,2025-04-26,15
