SKU_ID,Flavor,Pack Size
1000,Classic Salted,Small (20g)
1001,Classic Salted,Medium (50g)
1002,Classic Salted,Large (100g)
1003,Classic Salted,Multi-pack
1004,Spicy,Small (20g)
1005,Spicy,Medium (50g)
1006,Spicy,Large (100g)
1007,Spicy,Multi-pack
1008,Local Specialty,Small (20g)
1009,Local Specialty,Medium (50g)
1010,Local Specialty,Large (100g)
1011,Local Specialty,Multi-pack
1012,Health-Oriented,Small (20g)
1013,Health-Oriented,Medium (50g)
1014,Health-Oriented,Large (100g)
1015,Health-Oriented,Multi-pack
