Warehouse_ID,Market,Date,SKU_ID,Cases_Shipped
IN-MUM-DC,India,2025-04-20,1006,606
IN-MUM-DC,India,2025-04-20,1009,327
IN-MUM-DC,India,2025-04-20,1003,713
IN-MUM-DC,India,2025-04-20,1015,427
IN-MUM-DC,India,2025-04-20,1014,584
IN-DEL-DC,India,2025-04-20,1005,667
IN-MUM-DC,India,2025-04-20,1012,457
IN-MUM-DC,India,2025-04-20,1007,448
IN-DEL-DC,India,2025-04-20,1010,303
IN-MUM-DC,India,2025-04-20,1003,506
IN-DEL-DC,India,2025-04-20,1015,630
IN-MUM-DC,India,2025-04-20,1009,525
IN-DEL-DC,India,2025-04-20,1002,407
IN-DEL-DC,India,2025-04-20,1003,437
IN-DEL-DC,India,2025-04-20,1014,547
IN-DEL-DC,India,2025-04-20,1014,355
IN-DEL-DC,India,2025-04-20,1009,677
IN-MUM-DC,India,2025-04-20,1006,678
IN-DEL-DC,India,2025-04-20,1015,720
IN-DEL-DC,India,2025-04-20,1005,246
IN-DEL-DC,India,2025-04-20,1003,442
IN-MUM-DC,India,2025-04-20,1002,301
IN-MUM-DC,India,2025-04-20,1012,445
IN-DEL-DC,India,2025-04-20,1005,273
IN-MUM-DC,India,2025-04-20,1006,413
IN-MUM-DC,India,2025-04-20,1012,302
IN-DEL-DC,India,2025-04-20,1013,611
IN-DEL-DC,India,2025-04-20,1008,631
IN-DEL-DC,India,2025-04-20,1012,422
IN-DEL-DC,India,2025-04-20,1012,488
IN-DEL-DC,India,2025-04-20,1004,633
IN-DEL-DC,India,2025-04-20,1003,302
IN-MUM-DC,India,2025-04-20,1015,494
IN-MUM-DC,India,2025-04-20,1004,255
IN-MUM-DC,India,2025-04-20,1001,665
IN-MUM-DC,India,2025-04-20,1015,587
IN-DEL-DC,India,2025-04-20,1005,435
IN-MUM-DC,India,2025-04-20,1004,395
IN-DEL-DC,India,2025-04-20,1002,578
IN-DEL-DC,India,2025-04-20,1014,343
IN-DEL-DC,India,2025-04-20,1015,491
IN-MUM-DC,India,2025-04-20,1010,654
IN-MUM-DC,India,2025-04-20,1001,460
IN-DEL-DC,India,2025-04-20,1012,470
IN-DEL-DC,India,2025-04-20,1012,466
IN-MUM-DC,India,2025-04-20,1001,256
IN-MUM-DC,India,2025-04-20,1009,692
IN-MUM-DC,India,2025-04-20,1015,460
IN-DEL-DC,India,2025-04-20,1009,606
IN-MUM-DC,India,2025-04-20,1015,631
IN-DEL-DC,India,2025-04-21,1015,577
IN-MUM-DC,India,2025-04-21,1015,527
