Store_ID,Market,City,Format,Square_Ft,Cluster,Opening_Date
2000,India,Mumbai,Small,781,Control,2019-03-24
2001,India,Mumbai,Large,1825,Pilot,2021-01-01
2002,India,Mumbai,Small,814,Pilot,2022-01-18
2003,India,Delhi,Large,1778,Control,2021-10-09
2004,India,Mumbai,Small,793,Control,2020-03-07
2005,India,Bangalore,Small,798,Pilot,2018-06-28
2006,India,Bangalore,Large,1755,Control,2023-08-18
2007,India,Mumbai,Medium,1220,Pilot,2020-11-20
2008,India,Bangalore,Large,1840,Pilot,2018-01-22
2009,India,Delhi,Medium,1179,Pilot,2018-07-09
2010,India,Chennai,Large,1770,Control,2020-06-07
2011,India,Bangalore,Large,1827,Pilot,2023-03-18
2012,India,Delhi,Small,798,Control,2020-11-23
2013,India,Hyderabad,Small,848,Control,2018-04-27
2014,India,Mumbai,Medium,1184,Control,2018-04-19
2015,India,Bangalore,Small,800,Control,2023-08-05
2016,India,Bangalore,Small,845,Pilot,2022-09-09
2017,India,Hyderabad,Medium,1196,Control,2019-03-17
2018,India,Chennai,Small,764,Pilot,2019-11-06
2019,India,Chennai,Large,1799,Pilot,2021-10-15
2020,India,Hyderabad,Medium,1237,Pilot,2023-02-22
2021,India,Hyderabad,Medium,1164,Control,2020-07-06
2022,India,Chennai,Small,814,Control,2019-09-04
2023,India,Bangalore,Large,1769,Pilot,2020-03-18
2024,India,Hyderabad,Small,812,Control,2018-02-12
2025,India,Bangalore,Small,780,Pilot,2022-02-03
2026,India,Chennai,Small,766,Pilot,2023-08-18
2027,India,Delhi,Medium,1177,Control,2022-12-23
2028,India,Delhi,Large,1801,Control,2023-11-12
2029,India,Chennai,Large,1765,Control,2019-04-03
2030,Thailand,Chiang Mai,Small,825,Pilot,2019-01-03
2031,Thailand,Phuket,Large,1779,Pilot,2018-01-28
2032,Thailand,Chiang Mai,Small,785,Pilot,2023-08-07
2033,Thailand,Phuket,Small,781,Control,2021-07-07
2034,Thailand,Bangkok,Small,795,Control,2021-07-15
2035,Thailand,Phuket,Small,757,Pilot,2021-12-11
2036,Thailand,Bangkok,Small,774,Pilot,2022-08-05
2037,Thailand,Chiang Mai,Small,809,Control,2019-02-15
2038,Thailand,Phuket,Small,833,Pilot,2022-01-03
2039,Thailand,Bangkok,Small,812,Control,2021-04-28
2040,Thailand,Chiang Mai,Small,798,Pilot,2018-07-09
2041,Thailand,Chiang Mai,Medium,1239,Control,2023-09-22
2042,Thailand,Phuket,Medium,1174,Pilot,2020-04-02
2043,Thailand,Phuket,Large,1845,Pilot,2020-01-02
2044,Thailand,Phuket,Medium,1157,Pilot,2022-02-28
2045,Thailand,Bangkok,Small,836,Pilot,2019-07-04
2046,Thailand,Phuket,Small,829,Pilot,2018-07-22
2047,Thailand,Phuket,Large,1783,Control,2019-11-23
2048,Thailand,Chiang Mai,Small,800,Control,2019-11-21
2049,Thailand,Chiang Mai,Medium,1246,Control,2018-01-15
2050,Thailand,Phuket,Large,1759,Pilot,2022-04-17
2051,Thailand,Chiang Mai,Small,758,Control,2019-06-10
2052,Thailand,Bangkok,Medium,1228,Control,2023-09-01
2053,Thailand,Phuket,Large,1834,Control,2018-03-09
2054,Thailand,Bangkok,Small,784,Pilot,2020-10-07
2055,Thailand,Phuket,Medium,1237,Pilot,2023-05-17
2056,Thailand,Chiang Mai,Medium,1161,Pilot,2023-07-27
2057,Thailand,Chiang Mai,Small,792,Pilot,2019-11-09
2058,Thailand,Bangkok,Large,1820,Control,2023-07-18
2059,Thailand,Bangkok,Small,838,Pilot,2019-09-02
2060,Japan,Osaka,Large,1805,Pilot,2019-01-10
2061,Japan,Osaka,Small,776,Control,2023-04-22
2062,Japan,Tokyo,Medium,1229,Control,2023-03-08
2063,Japan,Tokyo,Small,753,Control,2019-12-11
2064,Japan,Osaka,Large,1784,Pilot,2019-12-04
2065,Japan,Osaka,Small,778,Control,2019-08-12
2066,Japan,Osaka,Small,753,Pilot,2023-04-13
2067,Japan,Osaka,Medium,1248,Pilot,2020-06-21
2068,Japan,Nagoya,Medium,1153,Control,2018-05-06
2069,Japan,Nagoya,Medium,1163,Pilot,2022-07-12
2070,Japan,Nagoya,Medium,1227,Control,2022-02-13
2071,Japan,Nagoya,Small,755,Control,2023-07-01
2072,Japan,Nagoya,Large,1796,Pilot,2021-02-22
2073,Japan,Osaka,Large,1834,Control,2018-12-10
2074,Japan,Nagoya,Medium,1191,Control,2021-12-10
2075,Japan,Nagoya,Small,803,Pilot,2023-07-22
2076,Japan,Nagoya,Small,801,Control,2022-01-10
2077,Japan,Osaka,Small,850,Control,2022-10-21
2078,Japan,Osaka,Medium,1206,Control,2023-04-17
2079,Japan,Osaka,Large,1834,Pilot,2018-05-17
2080,Japan,Nagoya,Large,1761,Control,2019-11-10
2081,Japan,Tokyo,Small,753,Pilot,2018-04-16
2082,Japan,Nagoya,Small,803,Control,2023-10-07
2083,Japan,Nagoya,Large,1813,Control,2021-04-05
2084,Japan,Nagoya,Large,1846,Pilot,2018-07-08
2085,Japan,Tokyo,Large,1756,Control,2022-04-28
2086,Japan,Tokyo,Medium,1209,Pilot,2023-09-18
2087,Japan,Nagoya,Medium,1228,Control,2023-09-14
2088,Japan,Nagoya,Medium,1245,Pilot,2021-08-09
2089,Japan,Tokyo,Large,1848,Control,2022-08-21
