Market,Segment,Occasion,Pack Size,Flavor,Channel,Price,WtP_Estimate,Elasticity,Unit_Sales,Revenue,Gross_Margin_%,Gross_Margin_Value
India,Low-SEC,Impulse,Small (20g),Classic Salted,7-Eleven,5,6.25,-0.62,506,2530,0.25,624.4
India,Low-SEC,Impulse,Small (20g),Classic Salted,Modern Trade,50,59.31,-1.43,528,26400,0.41,10887.93
India,Low-SEC,Impulse,Small (20g),Classic Salted,Traditional Trade,100,115.31,-1.28,477,47700,0.36,17049.26
India,Low-SEC,Impulse,Small (20g),Spicy,7-Eleven,10,12.54,-0.98,486,4860,0.24,1175.38
India,Low-SEC,Impulse,Small (20g),Spicy,Modern Trade,10,11.09,-0.95,520,5200,0.35,1842.21
India,Low-SEC,Impulse,Small (20g),Spicy,Traditional Trade,10,10.59,-0.79,447,4470,0.25,1122.67
India,Low-SEC,Impulse,Small (20g),Local Specialty,7-Eleven,5,5.7,-0.68,496,2480,0.35,864.41
India,Low-SEC,Impulse,Small (20g),Local Specialty,Modern Trade,5,5.85,-1.46,536,2680,0.4,1068.67
India,Low-SEC,Impulse,Small (20g),Local Specialty,Traditional Trade,20,24.42,-0.84,533,10660,0.48,5080.15
India,Low-SEC,Impulse,Small (20g),Health-Oriented,7-Eleven,50,50.2,-1.39,478,23900,0.3,7112.62
India,Low-SEC,Impulse,Small (20g),Health-Oriented,Modern Trade,5,5.26,-0.51,491,2455,0.36,890.7
India,Low-SEC,Impulse,Small (20g),Health-Oriented,Traditional Trade,100,112.8,-1.33,521,52100,0.5,25845.04
India,Low-SEC,Impulse,Medium (50g),Classic Salted,7-Eleven,5,5.66,-1.49,523,2615,0.42,1094.91
India,Low-SEC,Impulse,Medium (50g),Classic Salted,Modern Trade,70,88.28,-0.57,460,32200,0.23,7559.3
India,Low-SEC,Impulse,Medium (50g),Classic Salted,Traditional Trade,20,24.66,-1.1,456,9120,0.3,2713.7
India,Low-SEC,Impulse,Medium (50g),Spicy,7-Eleven,20,25.95,-0.62,509,10180,0.34,3478.14
India,Low-SEC,Impulse,Medium (50g),Spicy,Modern Trade,100,123.62,-0.59,504,50400,0.35,17546.19
India,Low-SEC,Impulse,Medium (50g),Spicy,Traditional Trade,70,79.48,-0.87,495,34650,0.23,8051.53
India,Low-SEC,Impulse,Medium (50g),Local Specialty,7-Eleven,10,12.09,-1.12,500,5000,0.27,1373.94
India,Low-SEC,Impulse,Medium (50g),Local Specialty,Modern Trade,10,11.7,-1.01,517,5170,0.22,1153.4
India,Low-SEC,Impulse,Medium (50g),Local Specialty,Traditional Trade,5,5.6,-0.38,522,2610,0.46,1204.35
India,Low-SEC,Impulse,Medium (50g),Health-Oriented,7-Eleven,50,57.49,-0.54,477,23850,0.36,8628.99
India,Low-SEC,Impulse,Medium (50g),Health-Oriented,Modern Trade,70,79.09,-1.23,495,34650,0.46,15877.29
India,Low-SEC,Impulse,Medium (50g),Health-Oriented,Traditional Trade,100,116.72,-1.49,501,50100,0.27,13358.28
India,Low-SEC,Impulse,Large (100g),Classic Salted,7-Eleven,5,5.83,-0.37,488,2440,0.41,1002.61
India,Low-SEC,Impulse,Large (100g),Classic Salted,Modern Trade,20,22.4,-1.06,483,9660,0.29,2803.95
India,Low-SEC,Impulse,Large (100g),Classic Salted,Traditional Trade,100,120.6,-1.44,485,48500,0.27,13185.63
India,Low-SEC,Impulse,Large (100g),Spicy,7-Eleven,100,144.63,-1.33,482,48200,0.43,20653.02
India,Low-SEC,Impulse,Large (100g),Spicy,Modern Trade,100,127.91,-1.06,509,50900,0.36,18361.28
India,Low-SEC,Impulse,Large (100g),Spicy,Traditional Trade,10,11.09,-1.39,525,5250,0.26,1343.77
India,Low-SEC,Impulse,Large (100g),Local Specialty,7-Eleven,70,84.7,-0.69,481,33670,0.25,8495.28
India,Low-SEC,Impulse,Large (100g),Local Specialty,Modern Trade,5,5.75,-0.67,493,2465,0.24,594.7
India,Low-SEC,Impulse,Large (100g),Local Specialty,Traditional Trade,100,112.17,-0.39,530,53000,0.4,21093.75
India,Low-SEC,Impulse,Large (100g),Health-Oriented,7-Eleven,100,116.78,-0.52,503,50300,0.27,13709.55
India,Low-SEC,Impulse,Large (100g),Health-Oriented,Modern Trade,70,85.82,-1.09,490,34300,0.47,16091.26
India,Low-SEC,Impulse,Large (100g),Health-Oriented,Traditional Trade,30,38.35,-0.44,520,15600,0.23,3513.78
India,Low-SEC,Impulse,Multi-pack,Classic Salted,7-Eleven,5,6.15,-1.49,475,2375,0.41,967.98
India,Low-SEC,Impulse,Multi-pack,Classic Salted,Modern Trade,5,5.64,-0.72,481,2405,0.27,652.18
India,Low-SEC,Impulse,Multi-pack,Classic Salted,Traditional Trade,70,92.11,-0.72,526,36820,0.37,13641.54
India,Low-SEC,Impulse,Multi-pack,Spicy,7-Eleven,5,5.59,-1.39,491,2455,0.27,670.7
